p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
2.26399177339281e-221;0.887030353824892;0.856;0.611;7.62535069196434e-217;0;GPC3
8.02662942351372e-255;0.88623598484956;0.982;0.932;2.70344905613365e-250;0;TUBA1A
1.25747409428562e-220;0.830778618370306;0.993;0.887;4.23529849696341e-216;0;DLK1
6.68126335659374e-234;0.780231686931874;0.979;0.744;2.25031631113434e-229;0;VIM
1.97392139736437e-139;0.768622465443718;0.8;0.599;6.64836465846294e-135;0;PTN
9.59748042677355e-212;0.651333619876907;1;0.997;3.2325273825416e-207;0;TUBA1B
1.80872421510064e-175;0.599665541712574;0.94;0.86;6.09196402888047e-171;0;CSRP2
5.33459298124686e-121;0.56991118503905;0.836;0.644;1.79674426201376e-116;0;NNAT
6.01764175070777e-129;0.569324543131304;0.764;0.527;2.02680191805588e-124;0;TPBG
2.47531805545792e-165;0.567157354685153;0.815;0.542;8.33711874258781e-161;0;H2AFY
7.05957249887286e-276;2.11873259277052;0.566;0.181;2.37773461334537e-271;1;MT1G
0;2.11401071318684;0.998;0.474;0;1;POU5F1
0;1.93309228290196;0.991;0.595;0;1;TERF1
8.62219143172327e-188;1.73595140293789;0.88;0.603;2.90404029611872e-183;1;MT1X
0;1.71571312469596;0.962;0.233;0;1;RP11-568A7.4
0;1.68955617666307;0.949;0.166;0;1;TDGF1
0;1.64568769017672;1;0.946;0;1;CD24
0;1.50734249914529;0.984;0.462;0;1;PLA2G16
1.15397607956759e-220;1.43123365857615;0.375;0.089;3.88670683359161e-216;1;MT1H
0;1.38342514424169;0.914;0.237;0;1;NMRK2
0;1.50089909493286;0.872;0.289;0;2;LHX5-AS1
0;1.25546564881831;0.704;0.16;0;2;LMO1
3.10724596299999e-291;1.18493144985222;0.974;0.564;1.04655151279803e-286;2;RP11-148B6.1
1.42961625762495e-227;0.977401752500341;0.805;0.395;4.81509051730659e-223;2;SHISA2
7.6799371697789e-310;0.909317969386562;0.722;0.246;2.58667963815323e-305;2;HESX1
1.22625389493743e-205;0.817187573015406;0.585;0.201;4.13014574353875e-201;2;CYP26A1
0;0.801833928191768;0.666;0.15;0;2;LHX5
8.57623915864745e-245;0.793585281074142;0.953;0.64;2.88856311102405e-240;2;TNNT1
1.25686339725498e-172;0.695709687162424;0.671;0.309;4.2332416082945e-168;2;FEZ1
4.40342427075231e-154;0.691921060484546;0.977;0.848;1.48311732863209e-149;2;SFRP1
0;1.78654902377768;0.976;0.661;0;3;UBE2C
0;1.61308065870276;1;0.851;0;3;HMGB2
0;1.48782674589649;0.956;0.553;0;3;CENPF
0;1.41302521452649;0.994;0.81;0;3;PTTG1
0;1.35606030123758;0.946;0.618;0;3;ARL6IP1
0;1.33747814458782;0.89;0.446;0;3;TOP2A
1.28905924865061e-274;1.22886810394952;0.956;0.755;4.34168045538011e-270;3;KPNA2
0;1.20735337241257;0.905;0.489;0;3;CDC20
0;1.18921061064896;0.853;0.362;0;3;CDKN3
4.85871478173153e-316;1.15607237477056;0.969;0.722;1.636463725635e-311;3;UBE2S
3.95252516672997e-323;1.30408150069309;0.863;0.394;1.33125000140632e-318;4;COL2A1
1.64171784254318e-260;1.2619931321882;0.992;0.97;5.52946986546969e-256;4;CRABP1
2.37254507824411e-237;1.25924563524928;0.988;0.897;7.990969078034e-233;4;DLK1
1.32848072601828e-183;1.08020213464131;0.779;0.45;4.47445593330215e-179;4;IGFBP5
7.51520422171921e-138;0.99854020989697;0.44;0.165;2.53119593391725e-133;4;DAPL1
9.7358932317078e-209;0.988606824406026;0.892;0.549;3.2791461993715e-204;4;PRSS23
6.45621138576389e-122;0.887140397245228;0.914;0.856;2.17451655683913e-117;4;SFRP2
5.75998433647539e-197;0.845942136760089;0.981;0.764;1.94002032436828e-192;4;VIM
5.54164886742939e-131;0.839094046838928;0.802;0.644;1.86648275503889e-126;4;PMEL
1.74314934454869e-169;0.819676390017832;0.712;0.389;5.87110130737445e-165;4;ZNF436-AS1
7.05834375654629e-97;1.23188302263541;0.975;0.902;2.37732076064236e-92;5;HIST1H4C
4.82019303065501e-138;0.896802866396546;0.91;0.424;1.62348921465491e-133;5;COL2A1
8.95612472321932e-120;0.803059158761434;0.985;0.773;3.0165123680275e-115;5;METRN
2.21078015097431e-70;0.746896651917466;0.992;0.971;7.44612862649656e-66;5;CRABP1
1.48076971036721e-87;0.659834221285444;0.975;0.764;4.98738046148779e-83;5;TMSB15A
2.01660488541782e-71;0.624520912355929;0.477;0.182;6.79212691457576e-67;5;DAPL1
2.41948077425488e-58;0.599765750580708;0.824;0.588;8.14905319576785e-54;5;RBP1
1.29362616650399e-50;0.578726795621498;0.997;0.902;4.3570622914021e-46;5;DLK1
7.3178000279424e-46;0.561666646458617;0.64;0.393;2.46470822741128e-41;5;HES4
1.2106924333025e-50;0.548580654077698;0.853;0.658;4.07773318460614e-46;5;KIAA0101
3.09760344581358e-254;1.99433778799391;0.991;0.758;1.04330381658447e-249;6;KRT18
3.97392257781893e-309;1.8002416481218;1;0.612;1.33845686343519e-304;6;CLDN6
0;1.68872063282184;0.969;0.358;0;6;EPCAM
1.43062775301636e-301;1.67903126674927;1;0.972;4.81849733493439e-297;6;APOE
2.26842135590415e-169;1.56115613253311;0.974;0.731;7.64026996882077e-165;6;KRT8
1.44596237811023e-249;1.44803750095745;1;0.995;4.87014588571308e-245;6;HSP90AA1
4.06184708792732e-214;1.34813069120842;0.964;0.534;1.3680707176848e-209;6;L1TD1
1.53126666634057e-216;1.32657472411043;0.981;0.682;5.15745925890169e-212;6;HSP90B1
5.5433710076004e-195;1.2503944322663;0.968;0.593;1.86706278906989e-190;6;UGP2
1.76953855763156e-201;1.24128090340003;0.957;0.568;5.95998281595885e-197;6;HSPA5
3.80401587241622e-244;1.70793128259112;0.94;0.53;1.28123058598851e-239;7;PTPRS
2.50494535229576e-219;1.5001370936221;0.972;0.703;8.43690644106735e-215;7;SOX11
2.74195211985838e-164;1.19325593603322;0.933;0.67;9.235168934895e-160;7;HNRNPH1
6.01449959735674e-142;1.10623404697395;0.737;0.332;2.02574360938572e-137;7;CRB2
7.42382450245337e-104;0.991530677172797;0.814;0.522;2.50041833067132e-99;7;EFNA5
2.21649184466308e-135;0.883435305482469;0.597;0.212;7.46536618200974e-131;7;SKIDA1
2.76468209423467e-90;0.866745779365333;0.781;0.548;9.3117257615918e-86;7;CTNNB1
5.6101522534575e-51;0.737243442580156;0.726;0.477;1.88955538048702e-46;7;IGFBP5
3.40857351939251e-63;0.701506309834237;0.995;0.903;1.14804164706659e-58;7;DLK1
7.80562291849663e-72;0.698968067696361;0.754;0.556;2.62901185517885e-67;7;PPP1CB
